"func.name","true_x","true_y","lin_extrap_x","lin_extrap_y","tpt","min_x","min_y","max_x","max_y","forced_choice_tpt"
"triangle_1",0.597077402773384,0.318952335376557,0.305845194453233,0.150809341506229,10,0,0,1,0.75,14
"zigzag_1",0.493805287442666,0.301663172797211,0.493805287442666,0.301663172797211,10,0,0,1,0.75,13
"zigzag_2",0.509443620677197,0.417281797458655,0.542496293047381,0.56526808856395,10,0,0,1,0.75,13
"zigzag_3",0.499999999999997,0.375000000000002,0.499999999999997,0.375000000000002,10,0,0,1,0.75,13
"zigzag_widening",0.538325006235133,0.334390810472197,0.388461016336371,0.493186744694709,10,0,0,1,0.75,14
"123",0.634765625,0.1953125,0.634765625,0.1953125,11,0,0,1,0.75,14
"3_pts",0.597077402773384,0.375,0.597077402773384,0.375,11,0,0,1,0.75,12
"alternating_diff_1",0.513807776567641,0.34738444686472,0.571800438151729,0.405377108448808,11,0,0,1,0.75,14
"alternating_diff_2",0.528996330792044,0.330815114983552,0.528996330792044,0.38880777656764,11,0,0,1,0.75,11
"decreasing_y",0.556640625,0.494791666666667,0.587565104166667,0.247395833333333,11,0,0,1,0.75,14
"f_curly_2",0.507621740791741,0.43621250894133,0.630827070456989,0.428023267290296,11,0,0,1,0.75,14
"hexagon",0.296627093459477,0.391011463955052,0.199562751701501,0.559131835483097,11,0,0,1,0.75,14
"hourglass_1",0.572276388096593,0.447276388096593,0.296311997182329,0.585258583553725,11,0,0,1,0.75,14
"increasing_lines",0.468533816052049,0.406466183947951,0.279736712364344,0.453665459869877,11,0,0,1,0.75,10
"plus",0.292004981947197,0.367596734410687,0.292004981947197,0.367596734410687,11,0,0,1,0.75,12
"radial_1",0.378667542315757,0.504079812700684,0.547560005489752,0.168727248761347,11,0,0,1,0.75,13
"radial_increasing",0.509403123676272,0.400048864842124,0.509403123676272,0.400048864842124,11,0,0,1,0.75,9
"sine",0.528996330792044,0.283876892122655,0.528996330792044,0.240367564270522,11,0,0,1,0.75,12
"spiral_outward",0.60218054451899,0.186806028619514,0.5721033067103,0.118189768965881,11,0,0,1,0.75,14
"square_2",0.201460021782479,0.29411500544562,0.201460021782479,0.29411500544562,11,0,0,1,0.75,13
"square_spiral",0.770141224133306,0.592362979306645,0.770141224133306,0.592362979306645,11,0,0,1,0.75,9
"stairs",0.4802235505625,0.411491311009314,0.445020367208766,0.372741853382743,11,0,0,1,0.75,14
"stairs_2",0.539345040651489,0.372575329439997,0.539345040651489,0.372575329439997,11,0,0,1,0.75,12
"triangle_1",0.5,0.487095329246886,0.791232208320151,0.318952335376557,11,0,0,1,0.75,14
"zigzag_1",0.470722091364445,0.374115808449024,0.4588958219368,0.234109138334606,11,0,0,1,0.75,13
"zigzag_2",0.462268320081552,0.350134084490209,0.462268320081552,0.350134084490209,11,0,0,1,0.75,13
"zigzag_3",0.455145157612397,0.36979143660129,0.455145157612397,0.36979143660129,11,0,0,1,0.75,13
"zigzag_widening",0.443304572274894,0.411509737640351,0.604269598462454,0.240951141623579,11,0,0,1,0.75,14
"123",0.732421875,0.390625,0.634765625,0.09765625,12,0,0,1,0.75,14
"3_pts",0.402922597226616,0.375,0.694154805546768,0.375,12,0,0,1,0.75,12
"alternating_diff_1",0.571800438151729,0.34738444686472,0.513807776567641,0.289391785280631,12,0,0,1,0.75,14
"alternating_diff_2",0.557992661584089,0.38880777656764,0.557992661584089,0.272822453399463,12,0,0,1,0.75,11
"decreasing_y",0.587565104166667,0.247395833333333,0.587565104166667,0.7421875,12,0,0,1,0.75,14
"f_curly_2",0.382530545447871,0.388809694971706,0.429151405428622,0.503147406823031,12,0,0,1,0.75,14
"hexagon",0.393691435217454,0.222891092427007,0.199562751701501,0.222891092427007,12,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.309294192639461,0.710258583553725,0.447276388096593,12,0,0,1,0.75,14
"increasing_lines",0.515733091973975,0.406466183947951,0.515733091973975,0.406466183947951,12,0,0,1,0.75,10
"plus",0.486133665463146,0.374506448960712,0.194940640189223,0.364141877135674,12,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,0.249292586385134,0.649128795112765,12,0,0,1,0.75,13
"radial_increasing",0.519245040908108,0.43761326216497,0.519245040908108,0.43761326216497,12,0,0,1,0.75,9
"sine",0.557992661584089,0.324189095103322,0.557992661584089,0.244212599936419,12,0,0,1,0.75,12
"spiral_outward",0.709215014321622,0.264571122893632,0.726699961565298,0.186806028619514,12,0,0,1,0.75,14
"square_2",0.201460021782479,0.149133351485399,0.201460021782479,0.149133351485399,12,0,0,1,0.75,13
"square_spiral",0.632408652871097,0.592362979306645,0.770141224133306,0.730095550568854,12,0,0,1,0.75,9
"stairs",0.433625628093588,0.418459225731712,0.468828811447322,0.457208683358284,12,0,0,1,0.75,14
"stairs_2",0.544194381771495,0.451265410742975,0.578690081302978,0.370150658879994,12,0,0,1,0.75,12
"triangle_1",0.402922597226617,0.318952335376557,0.402922597226616,0.655238323117214,12,0,0,1,0.75,14
"zigzag_1",0.447638895286223,0.446568444100836,0.447638895286223,0.446568444100836,12,0,0,1,0.75,13
"zigzag_2",0.415093019485908,0.282986371521764,0.415093019485908,0.282986371521764,12,0,0,1,0.75,13
