"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"Linear(0.49943642712137926, 3, 1)","Linear(0.5010175949861522, 2, 1)",19,16.8926310748054,7.0102427638417,56.8514947707636,0.0140632998764053,0.0100831628727668,"line",7,16.9,7
"Linear(0.4988505007270868, 1, 1)","Linear(0.5036623332222248, 1, 1)",20,16.8849445842364,6.96367845842374,48.0264971405259,0.0211451411982817,0.03909569322476,"line",7,16.9,7
"Linear(0.5002892399849966, 2, 1)","Linear(0.500266830229264, 2, 1)",1,15.5953581514224,8.00329437034487,69.3240604406143,0.0130813173512586,0.0105964958738529,"line",8,15.6,8
"Linear(0.4993764193933092, 3, 1)","Linear(0.5005928150074233, 1, 1)",2,15.5899638403774,7.99270919985587,63.4922545664298,0.0345716706110017,0.0101232109344525,"line",8,15.6,8
"Linear(0.5000482959374468, 3, 1)","Linear(0.4980484891540808, 1, 1)",3,15.6007692990726,8.02419291044143,64.7608107460072,0.0137005379026274,0.0176383443625905,"line",8,15.6,8
"Linear(0.5004328288455406, 1, 1)","Linear(0.5005788562456704, 2, 1)",4,15.6069162174914,8.00714866476865,66.6177708822103,0.0207005398298992,0.0100190800273894,"line",8,15.6,8
"Linear(0.5002014669749089, 3, 1)","Linear(0.5005986648137554, 3, 1)",5,15.6032219365313,7.9926379586567,68.8057069754286,0.0132089046842173,0.0110779190194009,"line",8,15.6,8
"Linear(0.5017916090609094, 2, 1)","Linear(0.5007057592412463, 2, 1)",6,15.57114588879,8.00871862705896,65.4905187384543,0.014036166835487,0.010523865273925,"line",8,15.6,8
"Linear(0.49954574746141145, 1, 1)","Linear(0.5020226254945912, 2, 1)",7,15.5927074458084,8.02507366074679,64.405574523183,0.015219066303429,0.0113314464276636,"line",8,15.6,8
"Linear(0.500605335231663, 2, 1)","Linear(0.5005416584910535, 1, 1)",8,15.5902808747683,7.99333741742029,69.1527256036814,0.0133679586144032,0.00970951665970875,"line",8,15.6,8
"Linear(0.5019033330299524, 2, 1)","Linear(0.5002951705499724, 2, 1)",9,15.5693301729793,8.00364461065279,64.4649957710624,0.0223098903971274,0.011221534385365,"line",8,15.6,8
